Date,Price,Open,High,Low,Vol.,Change %,log_return
2021-06-02,15576.2,"15,520.35","15,597.45","15,459.85",428.64M,0.01%,8.667444601998165e-05
2021-06-03,15690.35,"15,655.55","15,705.10","15,611.00",410.24M,0.73%,0.007301765443638139
2021-06-04,15670.25,"15,712.50","15,733.60","15,622.35",414.16M,-0.13%,-0.0012818634051846062
2021-06-07,15751.65,"15,725.10","15,773.45","15,678.10",393.97M,0.52%,0.005181111396264527
2021-06-08,15740.1,"15,773.90","15,778.80","15,680.00",378.16M,-0.07%,-0.0007335254800309069
2021-06-09,15635.35,"15,766.30","15,800.45","15,566.90",457.86M,-0.67%,-0.0066772198768095935
2021-06-10,15737.75,"15,692.10","15,751.25","15,648.50",298.30M,0.65%,0.0065279085353827145
2021-06-11,15799.35,"15,796.45","15,835.55","15,749.80",363.01M,0.39%,0.003906515078371861
2021-06-14,15811.85,"15,791.40","15,823.05","15,606.50",392.86M,0.08%,0.0007908589772940088
2021-06-15,15869.25,"15,866.95","15,901.60","15,842.40",323.26M,0.36%,0.0036236155189037843
2021-06-16,15767.55,"15,847.50","15,880.85","15,742.60",340.19M,-0.64%,-0.006429243811976895
2021-06-17,15691.4,"15,648.30","15,769.35","15,616.75",357.65M,-0.48%,-0.004841239057948083
2021-06-18,15683.35,"15,756.50","15,761.50","15,450.90",640.82M,-0.05%,-0.0005131515104754852
2021-06-21,15746.5,"15,525.85","15,765.15","15,505.65",351.53M,0.40%,0.0040184782924328364
2021-06-22,15772.75,"15,840.50","15,895.75","15,752.10",322.24M,0.17%,0.0016656491552922152
2021-06-23,15686.95,"15,862.80","15,862.95","15,673.95",287.54M,-0.54%,-0.005454610993256628
2021-06-24,15790.45,"15,737.30","15,821.40","15,702.70",316.66M,0.66%,0.0065761703950533955
2021-06-25,15860.35,"15,839.35","15,870.80","15,772.30",314.61M,0.44%,0.004416957147551428
2021-06-28,15814.7,"15,915.35","15,915.65","15,792.15",255.10M,-0.29%,-0.0028823968142633397
2021-06-29,15748.45,"15,807.50","15,835.90","15,724.05",360.33M,-0.42%,-0.004197939514398237
2021-06-30,15721.5,"15,776.90","15,839.10","15,708.75",262.39M,-0.17%,-0.0017127454341774183
2021-07-01,15680.0,"15,755.05","15,755.55","15,667.05",224.92M,-0.26%,-0.0026431873739428875
2021-07-02,15722.2,"15,705.85","15,738.35","15,635.95",254.81M,0.27%,0.0026877113962504966
2021-07-05,15834.35,"15,793.40","15,845.95","15,762.05",207.03M,0.71%,0.007107904518881885
2021-07-06,15818.25,"15,813.75","15,914.20","15,801.00",391.41M,-0.10%,-0.0010172940856974727
2021-07-07,15879.65,"15,819.60","15,893.55","15,779.70",329.31M,0.39%,0.0038740785221350028
2021-07-08,15727.9,"15,855.40","15,885.75","15,682.90",307.93M,-0.96%,-0.009602209976720955
2021-07-09,15689.8,"15,688.25","15,730.85","15,632.75",243.25M,-0.24%,-0.002425385606006873
2021-07-12,15692.6,"15,766.80","15,789.20","15,644.75",216.27M,0.02%,0.00017844396906752612
2021-07-13,15812.35,"15,794.00","15,820.80","15,744.60",246.68M,0.76%,0.007602016616565908
2021-07-14,15853.95,"15,808.70","15,877.35","15,764.20",239.92M,0.26%,0.0026274003550276126
2021-07-15,15924.2,"15,872.15","15,952.35","15,855.00",284.85M,0.44%,0.004421284085811662
2021-07-16,15923.4,"15,958.35","15,962.25","15,882.60",276.30M,-0.01%,-5.023926450783297e-05
2021-07-19,15752.4,"15,754.50","15,836.90","15,707.50",242.13M,-1.07%,-0.010796990837843464
2021-07-20,15632.1,"15,703.95","15,728.45","15,578.55",274.28M,-0.76%,-0.007666242201175643
2021-07-22,15824.05,"15,736.60","15,834.80","15,726.40",265.25M,1.23%,0.012204442218645537
2021-07-23,15856.05,"15,856.80","15,899.80","15,768.40",294.10M,0.20%,0.002020196330389148
2021-07-26,15824.45,"15,849.30","15,893.35","15,797.00",267.08M,-0.20%,-0.0019949186710989724
2021-07-27,15746.45,"15,860.50","15,881.55","15,701.00",311.01M,-0.49%,-0.004941269251421819
2021-07-28,15709.4,"15,761.55","15,767.50","15,513.45",318.60M,-0.24%,-0.002355683736621079
2021-07-29,15778.45,"15,762.70","15,817.35","15,737.80",401.58M,0.44%,0.004385825687307919
2021-07-30,15763.05,"15,800.60","15,862.80","15,744.85",400.02M,-0.10%,-0.0009764913668472192
2021-08-02,15885.15,"15,874.90","15,892.90","15,834.65",244.85M,0.77%,0.007716116923125624
2021-08-03,16130.75,"15,951.55","16,146.90","15,914.35",341.29M,1.55%,0.015342677718794513
2021-08-04,16258.8,"16,195.25","16,290.20","16,176.15",427.34M,0.79%,0.007906912391925616
2021-08-05,16294.6,"16,288.95","16,349.45","16,210.30",418.17M,0.22%,0.0021994639228035033
2021-08-06,16238.2,"16,304.40","16,336.75","16,223.30",320.09M,-0.35%,-0.0034672734288667254
2021-08-09,16258.25,"16,281.35","16,320.75","16,179.05",240.45M,0.12%,0.001233981099116492
2021-08-10,16280.1,"16,274.80","16,359.25","16,202.25",287.99M,0.13%,0.001343030810369638
2021-08-11,16282.25,"16,327.30","16,338.75","16,162.55",277.90M,0.01%,0.00013205435130599847
2021-08-12,16364.4,"16,303.65","16,375.50","16,286.90",280.18M,0.50%,0.005032686256673825
2021-08-13,16529.1,"16,385.70","16,543.60","16,376.30",321.87M,1.01%,0.01001422022003885
2021-08-16,16563.05,"16,518.40","16,589.40","16,480.75",254.05M,0.21%,0.0020518468525620097
2021-08-17,16614.6,"16,545.25","16,628.55","16,495.40",297.39M,0.31%,0.003107516143149264
2021-08-18,16568.85,"16,691.95","16,701.85","16,535.85",251.80M,-0.28%,-0.002757400390098923
2021-08-20,16450.5,"16,382.50","16,509.55","16,376.05",350.82M,-0.71%,-0.007168554609066652
2021-08-23,16496.45,"16,592.25","16,592.50","16,395.70",275.60M,0.28%,0.0027893343567396453
2021-08-24,16624.6,"16,561.40","16,647.10","16,495.30",275.36M,0.78%,0.0077383198591159386
2021-08-25,16634.65,"16,654.00","16,712.45","16,617.50",265.92M,0.06%,0.0006043431710507372
2021-08-26,16636.9,"16,627.95","16,683.70","16,603.40",253.53M,0.01%,0.00013525068735473022
2021-08-27,16705.2,"16,642.55","16,722.05","16,565.60",217.41M,0.41%,0.004096928239887572
2021-08-30,16931.05,"16,775.85","16,951.50","16,764.85",283.48M,1.35%,0.013429166104186735
2021-08-31,17132.2,"16,947.50","17,153.50","16,915.85",464.39M,1.19%,0.011810519440649946
2021-09-01,17076.25,"17,185.60","17,225.75","17,055.05",301.89M,-0.33%,-0.0032711245256615783
2021-09-02,17234.15,"17,095.40","17,245.50","17,059.70",242.38M,0.92%,0.009204271285332572
2021-09-03,17323.6,"17,262.45","17,340.10","17,212.20",261.37M,0.52%,0.005176853225117625
2021-09-06,17377.8,"17,399.35","17,429.55","17,345.55",228.05M,0.31%,0.003123795816542275
2021-09-07,17362.1,"17,401.55","17,436.50","17,287.00",243.42M,-0.09%,-0.0009038598884199581
2021-09-08,17353.5,"17,375.75","17,383.40","17,254.20",252.65M,-0.05%,-0.0004954545032160359
2021-09-09,17369.25,"17,312.85","17,379.65","17,302.70",241.51M,0.09%,0.0009071862729865194
2021-09-13,17355.3,"17,363.55","17,378.35","17,269.15",241.05M,-0.08%,-0.0008034661788540212
2021-09-14,17380.0,"17,420.35","17,438.55","17,367.05",230.35M,0.14%,0.0014221845881971984
2021-09-15,17519.45,"17,387.65","17,532.70","17,386.90",388.19M,0.80%,0.007991572484174538
2021-09-16,17629.5,"17,539.20","17,644.60","17,510.45",503.31M,0.63%,0.006261942937460994
2021-09-17,17585.15,"17,709.65","17,792.95","17,537.65",508.29M,-0.25%,-0.0025188393721590984
2021-09-20,17396.9,"17,443.85","17,622.75","17,361.80",339.10M,-1.07%,-0.010762766458321043
2021-09-21,17562.0,"17,450.50","17,578.35","17,326.10",363.58M,0.95%,0.00944544750940251
2021-09-22,17546.65,"17,580.90","17,610.45","17,524.00",295.19M,-0.09%,-0.0008744284373270665
2021-09-23,17822.95,"17,670.85","17,843.90","17,646.55",320.51M,1.57%,0.015623904173446654
2021-09-24,17853.2,"17,897.45","17,947.65","17,819.40",360.13M,0.17%,0.0016958111931557232
2021-09-27,17855.1,"17,932.20","17,943.50","17,802.90",295.71M,0.01%,0.00010641783572961581
2021-09-28,17748.6,"17,906.45","17,912.85","17,576.10",398.00M,-0.60%,-0.005982542131478065
2021-09-29,17711.3,"17,657.95","17,781.75","17,608.15",562.24M,-0.21%,-0.0021037856145795374
2021-09-30,17618.15,"17,718.90","17,742.15","17,585.35",378.59M,-0.53%,-0.005273233285638534
2021-10-01,17532.05,"17,531.90","17,557.15","17,452.90",305.76M,-0.49%,-0.004898986190713282
2021-10-04,17691.25,"17,615.55","17,750.90","17,581.35",295.76M,0.91%,0.009039532585512345
2021-10-05,17822.3,"17,661.35","17,833.45","17,640.90",427.00M,0.74%,0.0073803151105359625
2021-10-06,17646.0,"17,861.50","17,884.60","17,613.15",395.83M,-0.99%,-0.009941353376534637
2021-10-07,17790.35,"17,810.55","17,857.55","17,763.80",419.89M,0.82%,0.008147046658443456
2021-10-08,17895.2,"17,886.85","17,941.85","17,840.35",324.07M,0.59%,0.005876345003409079
2021-10-11,17945.95,"17,867.55","18,041.95","17,839.10",375.76M,0.28%,0.002831942274032983
2021-10-12,17991.95,"17,915.80","18,008.65","17,864.95",355.57M,0.26%,0.002559972904460075
2021-10-13,18161.75,"18,097.85","18,197.80","18,050.75",506.68M,0.94%,0.009393298528785267
2021-10-14,18338.55,"18,272.85","18,350.75","18,248.70",538.71M,0.97%,0.009687667374482732
2021-10-18,18477.05,"18,500.10","18,543.15","18,445.30",469.88M,0.76%,0.007524019892830094
2021-10-19,18418.75,"18,602.35","18,604.45","18,377.70",368.23M,-0.32%,-0.0031602539324889403
2021-10-20,18266.6,"18,439.90","18,458.30","18,209.35",371.28M,-0.83%,-0.00829491185970416
2021-10-21,18178.1,"18,382.70","18,384.20","18,048.00",365.90M,-0.48%,-0.00485668280747376
2021-10-22,18114.9,"18,230.70","18,314.25","18,034.35",324.75M,-0.35%,-0.0034827687919410082
2021-10-25,18125.4,"18,229.50","18,241.40","17,968.50",418.70M,0.06%,0.000579465417990845
2021-10-26,18268.4,"18,154.50","18,310.45","18,099.30",341.38M,0.79%,0.007858521832249608
2021-10-27,18210.95,"18,295.85","18,342.05","18,167.90",335.25M,-0.31%,-0.003149729778398594
2021-10-28,17857.25,"18,187.65","18,190.70","17,799.45",374.21M,-1.94%,-0.01961347328760292
2021-10-29,17671.65,"17,833.05","17,915.85","17,613.10",336.47M,-1.04%,-0.010447927649083697
2021-11-01,17929.65,"17,783.15","17,954.10","17,697.10",281.19M,1.46%,0.014494106489669145
2021-11-02,17888.95,"17,970.90","18,012.25","17,847.60",296.44M,-0.23%,-0.0022725632780962878
2021-11-03,17829.2,"17,947.95","17,988.75","17,757.95",331.00M,-0.33%,-0.0033456411226991806
2021-11-04,17916.8,"17,935.05","17,947.55","17,900.60",48.52M,0.49%,0.004901257503659256
2021-11-08,18068.55,"18,040.20","18,087.80","17,836.10",338.92M,0.85%,0.00843403771450868
2021-11-09,18044.25,"18,084.35","18,112.60","17,983.05",270.20M,-0.13%,-0.0013457834157164536
2021-11-10,18017.2,"17,973.45","18,061.25","17,915.00",261.45M,-0.15%,-0.001500217272092116
2021-11-11,17873.6,"17,967.45","17,971.35","17,798.20",232.12M,-0.80%,-0.008002093364690321
2021-11-12,18102.75,"17,977.60","18,123.00","17,905.90",249.11M,1.28%,0.012739096598234837
2021-11-15,18109.45,"18,140.95","18,210.15","18,071.30",280.43M,0.04%,0.0003700410401166087
2021-11-16,17999.2,"18,127.05","18,132.65","17,958.80",267.43M,-0.61%,-0.006106589008761365
2021-11-17,17898.65,"17,939.35","18,022.65","17,879.25",295.72M,-0.56%,-0.005602021455896025
